S.No,Heading,Summary,Time,Source
113,Gold gains on safe-haven demand amid global uncertainties,"On the geopolitical front, Israeli strikes killed at least 25 people, medics and the civil emergency service said. Elsewhere, South Korea's parliament impeached acting President Han Duck-soo on Friday, less than two weeks after suspending President Yoon Suk Yeol.",9 hours ago,— Economic Times
114,"Bitcoin ascendancy, WazirX chaos, and India’s blockchain evolution: Crypto events that marked 2024","Though Bitcoin touched unseen new highs, millions of investors learned first-hand the dangers of cyber-attacks and hacks",9 hours ago,— The Hindu Business
115,"Oil inches lower in thin trade, investors eye China, US data",Both contracts rose about 1.4% last week buoyed by a larger-than-expected drawdown from U.S. crude inventories in the week ended Dec. 20 as refiners ramped up activity and the holiday season boosted fuel demand. [EIA/S],9 hours ago,— Economic Times
116,Stock Radar | ITC stock shows early signs of reversal; is it time to buy?,,9 hours ago,— Economic Times
117,Finshots Recap  — The most scam-tastic stories of 2024,A recap of 2024's best Finshots stories on scams.,9.5 hours ago,— Finshots
118,"Stocks To Watch Today: Hero MotoCorp, Ola Electric, Senores Pharma, JSW Energy, Max Financial","IOL Chemicals and Pharma, Prestige Estates, Utkarsh Small Finance Bank and Zydus Life are some of the other stocks to watch on Monday.",9.5 hours ago,— Bloomberg Quint
119,US Stocks Rocked By Late-Week Swoon In Tech Giants: Markets Wrap,"While every major industry succumbed to Friday’s slide, tech megacaps bore the brunt of the selling.",10 hours ago,— Bloomberg Quint
120,Most Asian Stocks Decline After US Tech Losses: Markets Wrap,The MSCI Asia Pacific Index snapped a five-day rally as shares slipped in Australia while Japan’s Nikkei 225 Stock Average also fell.,10 hours ago,— Bloomberg Quint
121,Asian shares dip as high yields test valuations,"MSCI's broadest index of Asia-Pacific shares outside Japan dipped 0.2%, but is still 16% higher for the year. Japan's Nikkei eased 0.2%, but is sitting on gains of 20% for 2024.",10 hours ago,— Economic Times
122,GIFT Nifty up 15 points; here's the trading setup for today's session,"As we step into the new year, auto sales data will be closely monitored for initial market cues. In the absence of any significant events, analysts said attention is likely to shift toward FII flows and currency movement, especially as the rupee continues to weaken against the US dollar.",10 hours ago,— Economic Times
123,"Stocks in news: IOL Chemicals, Alkyl Amines, Ola Electric, JSW Energy, Hero MotoCorp","The Indian arm of UK-headquartered pharmaceutical giant AstraZeneca has laid off more than 125 employees from its biopharmaceutical business unit, ET reported.",10 hours ago,— Economic Times
124,"Senores Pharmaceuticals Share Price Live: Senores Pharmaceuticals IPO  to debut on D-Street today. Check GMP, Other Details",,10.5 hours ago,— Economic Times
125,"Debt reduction, capacity addition likely to brighten prospects of Indo Farm","Of the fresh issue proceeds, ₹70 crore will be used to expand the capacity of the crane unit, ₹50 crore for part debt repayment, and ₹45 crore for increasing the capital base of the tractor financing subsidiary.",10.5 hours ago,— Economic Times
126,"Startups eye funding boost, IPO boom in 2025","Indian startups are predicting increased private funding and tech IPOs for 2025. Industry leaders foresee a shift towards profitability and public listings, with many startups preparing for IPOs. VC interest in AI, consumer brands, and deep tech remains high. Startups expect less restructuring and emphasise corporate governance amidst evolving regulations.",10.5 hours ago,— Economic Times
127,Stock futures with strong rollovers to January series,"IPCA Labs remains one of the top picks of analysts for the January expiry. “The stock has broken out of an eight-week consolidation after forming a strong base around the Rs 1,530-1,550 zone and has outperformed the pharma index displaying improved relative strength",10.5 hours ago,— Economic Times
128,Stock Market Today: All You Need To Know Going Into Trade On Dec. 30,"Stocks in the news, big brokerage calls of the day, complete trade setup and much more!",11 hours ago,— Bloomberg Quint
129,"Nifty seen trading in range, support at 23,263: Analysts","​N​ifty is struggling to maintain position above the crucial long-term 200-day exponential moving average (EMA), with selling pressure from heavyweight stocks limiting any significant rebound.",11 hours ago,— Economic Times
130,China's record dividends build pressure on the Yuan,"The dividend bonanza is adding pressure on the Chinese yuan already weighed by a resurgent dollar and the prospect of growing US-China tensions. The firms mostly pay dividends in Hong Kong dollars but earn the majority of their revenues in the yuan, which requires conversion.",11 hours ago,— Economic Times
131,Record year for momentum trade is ending with widening cracks,A fickle Fed and inflation's refusal to go quietly has been a recipe for cross-asset malaise. The biggest exchange-traded fund tracking long-dated Treasuries swung violently in 2024 before finishing deeply in the red.,11 hours ago,— Economic Times
132,"Rupee plunges over 3% in 2024, volatility likely to remain high","The expected volatility is due to uncertainties from the incoming Donald Trump administration, along with the union budget and measures taken by the monetary policy committee (MPC) of the Reserve Bank of India in February.",11.5 hours ago,— Economic Times
133,Private banks outrun public sector peers in priority lending benchmarks,"Private sector banks met their priority sector lending targets for the first time in 2023-24. This includes targets in areas like agriculture. They outperformed public sector banks. Permitting investments in priority sector lending certificates helped meet these goals. Private sector banks are leading in selling these certificates, accounting for 49% of total sales in FY24.",16 hours ago,— Economic Times
134,RBI Innovation Hub pilots digital unsecured loans for gig workers,"The Reserve Bank of India Innovation Hub has partnered with Vivifi Finance for a pilot project to provide unsecured loans to gig workers, including cab and food delivery drivers. The project uses alternate data for loan underwriting and aims to integrate these workers into formal banking channels. Future plans include linking the system with the Unified Lending Interface.",16 hours ago,— Economic Times
135,Rupee's backloaded retreat against the dollar mars year of rare stability,"The rupee has declined significantly against the US dollar, especially in the final quarter. This impacts inflation and adds complexity to economic decisions. Enhanced rate cuts by the US Federal Reserve, combined with global and regional economic challenges, highlight the necessity for a competitive currency policy. Policymakers must balance growth and price stability amid these challenges.",16 hours ago,— Economic Times
136,Higher FCNR rates fail to bring in the moolah,"The RBI's temporary move to allow banks to offer higher interest rates on FCNR (B) deposits to attract foreign capital has seen limited response. Bankers cite the rupee's decline, a narrowing interest rate gap, and sufficient existing spreads as reasons for low uptake, despite the revised ceiling.",16.5 hours ago,— Economic Times
137,"Small SIP, Big Impact: Rs 1,100 monthly SIP for 30 years or Rs 11,000 for 12 years, which do you think works better?",,16.5 hours ago,— Zee Business
138,2025 may ring in small savings rate cuts,"While the case for a rate cutting cycle is in place starting with the upcoming quarter, government may defer its initiation till April for better optics as a reduction amid high inflation, with an important Assembly election around the corner, may not go down well, say experts",19.5 hours ago,— The Hindu Business
139,Foodgrain Output Set To Scale New Peak In 2025 As Farm Sector Eyes 4% Growth,"India is poised to achieve new heights in foodgrain production in 2025, driven by favorable monsoon, though significant challenges persist in pulses and oilseeds production as the country's agricultural sector shows signs of robust recovery.",22 hours ago,— Bloomberg Quint
140,High Employee Attrition of 25% In Private Banks Pose Operational Risk: RBI Report,"The total number of employees of private banks surpassed that of public sector banks during 2023-24, but their attrition has increased sharply over the last three years, with average attrition rate of around 25%, RBI said.",22 hours ago,— Bloomberg Quint
141,Country's Liquor Companies May Approach FSSAI For Separate Standard For Indian Single Malt Whisky,"In 2023, Indian single malts accounted for nearly 53% of total sales, scoring over the global brands such as Glenlivet, Macallan, Lagavulin, Glenfiddich, and Talisker in the 'desi' market, where the ASP is going up.",22 hours ago,— Bloomberg Quint
142,Section Of Akasa Air Pilots Seeks Detailed DGCA Audit,"Earlier this month, allegations related to pilot training practices and attrition of pilots made by the section of pilots were termed baseless and untrue by the airline.",22 hours ago,— Bloomberg Quint
143,Ahead of Market: 10 things that will decide D-Street action on Monday,"Indian benchmark indices closed higher on Friday, driven by auto stocks, after last week's 5% drop. The Nifty 50 rose 0.27% to 23,813, and the BSE Sensex gained 0.29% to 78,699. Analysts suggest Nifty may consolidate between 23,500 and 23,900, with key resistance at 23,860 and support at 23,500, potentially targeting 24,000–24,100 if it breaks higher.",23 hours ago,— Economic Times
144,Top 6 fast-growing cryptocurrencies to watch for maximum profit potential,"As the cryptocurrency market evolves, Bitcoin (BTC) remains the leader, but altcoins like Ethereum (ETH), Solana (SOL), Cardano (ADA), Avalanche (AVAX), Polkadot (DOT), and Polygon (MATIC) show strong growth and technological potential. These projects offer unique solutions such as scalability, interoperability, and energy efficiency, making them prime opportunities for investors in 2024. Each presents significant growth prospects for both short- and long-term returns.",23.5 hours ago,— Economic Times
145,"F&O Talk | Nifty rally not sustainable on few big names, broader participation essential: Rahul Ghose of Hedged.in","The December weekly closing formed a neutral candle, reflecting indecisiveness in the market due to the holiday season. Short-term support is around 23,200–23,300, with potential declines toward 22,900–22,600. On the upside, the 24,500–25,000 range serves as a strong resistance, with the 25,000 level having significant call option open interest, making it unlikely to be breached soon.",23.5 hours ago,— Economic Times
146,"Adani Enterprises revenue to jump to Rs 1.5 lakh crore, net earnings to rise 46% by FY27: Brokerage","Adani Enterprises Ltd, the flagship company of the ports-to-energy conglomerate helmed by billionaire Gautam Adani, is likely to see consolidated revenue grow at a CAGR of 17.5 per cent and net earnings by 45.8 per cent over 2023-24 fiscal year (FY24) and FY27, a report said.",1 day ago,— Economic Times
